GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
G,WELSPUN INV & COMM LTD,       306.80,       277.35,10.62
G,GRANULES INDIA LIMITED,       271.20,       245.40,10.51
G,GANESH BENZOPLAST LIMITED,       125.10,       113.25,10.46
G,MONARCH NETWORTH CAP LTD,       325.25,       294.80,10.33
 , , , , 
L,EQUITAS SMALL FIN BNK LTD,        52.55,        59.45,-11.61
L,UNS RED NCD 9.25% SR. I,       140.00,       155.00,-9.68
L,KAMAT HOTELS (I) LTD,        67.45,        73.05,-7.67
L,9.00% UNSECURED NCD,      1049.43,      1127.00,-6.88
L,PANACEA BIOTEC LTD,       155.10,       166.10,-6.62
L,ONMOBILE GLOBAL LTD.,       132.60,       141.70,-6.42
L,EQUITAS HOLDINGS LIMITED,       108.25,       115.50,-6.28
L,BOND 6.88% PA TAX FREE S1,      1500.00,      1599.00,-6.19
L,ATAL REALTECH LIMITED,       129.00,       137.40,-6.11
L,CONTAINER CORP OF IND LTD,       573.40,       606.70,-5.49
L,SURYODAY SMALL FIN BK LTD,       113.60,       119.75,-5.14
L,ULTRA WIRING CONN SYS LTD,        37.05,        39.00,-5
L,FUTURE RETAIL LIMITED,        11.40,        12.00,-5
L,BIRLA TYRES LIMITED,         8.60,         9.05,-4.97
L,AVG LOGISTICS LIMITED,        65.10,        68.50,-4.96
L,DHARANI SUGARS & CHEMICAL,        12.45,        13.10,-4.96
L,GOI LOAN 7.17% 2028,       109.30,       115.00,-4.96
L,CL EDUCATE LIMITED,       123.30,       129.70,-4.93
L,AGRO PHOS INDIA LIMITED,        41.45,        43.60,-4.93
L,BRIGHTCOM GROUP LIMITED,        56.15,        59.05,-4.91
L,SREI INFRASTRUCTURE FINAN,         4.85,         5.10,-4.9
L,SONU INFRATECH LIMITED,        30.30,        31.85,-4.87
L,ASL INDUSTRIES LIMITED,        33.30,        35.00,-4.86
L,CONTINENTAL SEED CHEM LTD,         7.85,         8.25,-4.85
L,UTTAM GALVA STEELS LTD,         3.95,         4.15,-4.82
L,UNITED POLYFAB GUJ. LTD.,        39.85,        41.85,-4.78
L,SOLEX ENERGY LIMITED,       170.10,       178.60,-4.76
L,JBF INDUSTRIES LTD,        14.10,        14.80,-4.73
L,IMAGICAAWORLD ENT LTD,        13.30,        13.95,-4.66
L,BOND 8.44% PA TF TII-SIB,      1050.60,      1100.00,-4.49
