SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,TANTIACONS,Tantia Constructions Limi, ,25/05/2022,31/05/2022,23/05/2022, , ,ANNUAL GENERAL MEETING   
BE,JSWENERGY,JSW Energy Limited, ,01/06/2022,03/06/2022,30/05/2022, , ,DIV - RS 2 PER SH        
BE,WELSPUNIND,Equity shares, ,27/06/2022,28/06/2022,23/06/2022, , ,AGM/DIV - RS 0.15 PER SH 
BE,SOLARINDS,Solar Industries (I) Ltd, ,31/05/2022,10/06/2022,27/05/2022, , ,AGM/DIV - RS 7.50 PER SH 
BE,MANAPPURAM,Manappuram Finance Ltd,30/05/2022, , ,27/05/2022, , ,INT DIV - RS 0.75 PER SH 
BE,BLISSGVS,Bliss GVS Pharma Ltd, ,22/06/2022,28/06/2022,20/06/2022, , ,AGM/DIV - RS 0.50 PER SH 
BE,INFY,Infosys Limited,01/06/2022, , ,31/05/2022, , ,AGM/DIV - RS 16 PER SH   
BE,TCIDEVELOP,TCI Developers Limited, ,28/05/2022,02/06/2022,26/05/2022, , ,ANNUAL GENERAL MEETING   
BE,LALPATHLAB,Dr. Lal Path Labs Ltd.,23/06/2022, , ,22/06/2022, , ,AGM/DIV - RS 6 PER SH    
BE,KOKUYOCMLN,Kokuyo Camlin Limited, ,25/06/2022,29/06/2022,23/06/2022, , ,ANNUAL GENERAL MEETING   
BE,LINDEINDIA,BOC India Limited, ,03/06/2022,23/06/2022,01/06/2022, , ,AGM/DIVRS3.5/SPLDIVRS10  
BE,CASTROLIND,Castrol India Limited, ,04/06/2022,08/06/2022,02/06/2022, , ,DIV - RS 3 PER SH        
BE,CYIENT,Cyient Limited, ,25/05/2022,03/06/2022,23/05/2022, , ,AGM/DIV - RS 14 PER SH   
BE,CAPLIPOINT,Caplin Point Lab Ltd.,24/05/2022, , ,23/05/2022, , ,INTDIV - RS 2 PER SH     
BE,CANBK,Canara Bank,16/06/2022, , ,15/06/2022, , ,DIV - RS 6.5 PER SH      
BE,CANBK,Canara Bank, ,17/06/2022,23/06/2022,15/06/2022, , ,ANNUAL GENERAL MEETING   
BE,PNB,Punjab National Bank, ,24/06/2022,30/06/2022,22/06/2022, , ,AGM/DIV - RS 0.64 PER SH 
BE,HDFCLIFE,HDFC Life Ins Co Ltd,01/06/2022, , ,31/05/2022, , ,DIV - RS 1.70 PER SH     
BE,LAURUSLABS,Laurus Labs Limited, ,24/06/2022,30/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
BE,GTPL,GTPL Hathway Limited, ,03/06/2022,10/06/2022,01/06/2022, , ,AGM/DIV - RS 4 PER SH    
BE,VBL,Varun Beverages Limited,07/06/2022, , ,06/06/2022, , ,BONUS 1:2                
BE,NEWGEN,Newgen Software Tech Ltd,16/06/2022, , ,15/06/2022, , ,AGM/DIV - RS 4.5 PER SH  
BE,COFORGE,Coforge Limited,24/05/2022, , ,23/05/2022, , ,INT DIV - RS 13  PER SH  
BE,TATACONSUM,TATA CONSUMER PRODUCT LTD, ,11/06/2022,17/06/2022,09/06/2022, , ,AGM/DIV - RS 6.05 PER SH 
BE,HAPPSTMNDS,Happiest Minds Techno Ltd, ,25/06/2022,30/06/2022,23/06/2022, , ,AGM/DIV - RS 2 PER SH    
BZ,TANTIACONS,Tantia Constructions Limi, ,25/05/2022,31/05/2022,23/05/2022, , ,ANNUAL GENERAL MEETING   
BZ,GANGOTRI,Gangotri Textiles Limited, ,23/06/2022,29/06/2022,22/06/2022, , ,ANNUAL GENERAL MEETING   
BZ,GMBREW,GM Breweries Ltd., ,18/05/2022,24/05/2022,13/05/2022, , ,AGM/DIV - RS 5 PR SH     
EQ,KENNAMET,Kennametal India Limited,25/05/2022, , ,24/05/2022, , ,INT DIV - RS 24 PER SH   
EQ,IMAGICAA,Imagicaaworld Ent Ltd, ,04/06/2022,10/06/2022,02/06/2022, , ,EGM                      
EQ,SONACOMS,Sona BLW Precision Frgs L,30/06/2022, , ,29/06/2022, , ,DIV - RS 0.77 PER SH     
EQ,DRCSYSTEMS,DRC Systems India Limited, ,22/06/2022,29/06/2022,20/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,ANGELONE,Angel One Limited,24/05/2022, , ,23/05/2022, , ,AGM/DIV - RS 2.25 PER SH 
EQ,DOLATALGO,Dolat Algotech Limited,24/05/2022, , ,23/05/2022, , ,INT DIV - RS 0.25 PER SH 
EQ,DEVYANI,Devyani International Ltd, ,21/06/2022,28/06/2022,17/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,DODLA,Dodla Dairy Limited, ,23/06/2022,30/06/2022,21/06/2022, , ,ANNUAL GENERAL MEETING   
EQ,CRAFTSMAN,Craftsman Automation Ltd, ,11/06/2022,17/06/2022,09/06/2022, , ,DIV - RS 3.75 PER SH     
EQ,BRITANNIA,Britannia Ind Ltd., ,22/06/2022,28/06/2022,20/06/2022, , ,AGM/DIV-RS 56.5 PER SH   
EQ,RALLIS,Rallis India Ltd., ,08/06/2022,13/06/2022,06/06/2022, , ,AGM/DIV - RS 3 PER SH    
EQ,SUPREMEIND,Supreme Industries Ltd, ,23/06/2022,29/06/2022,21/06/2022, , ,AGM/DIV - RS 18 PER SH   
EQ,TATAPOWER,Tata Power Co. Ltd., ,17/06/2022,07/07/2022,15/06/2022, , ,DIV - RS 1.75 PER SH     
EQ,TATACHEM,Tata Chemicals Ltd., ,17/06/2022,22/06/2022,15/06/2022, , ,AGM/DIV - RS 12.5 PER SH 
EQ,ITC,ITC Ltd.,28/05/2022, , ,26/05/2022, , ,DIV - RS 6.25 PER SH     
