,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
2,106270,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-3 YRS- DIVIDEND,10.5546,,,21-Jan-2009,10.5546,0.0
3,106269,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-3 YRS- GROWTH,10.5546,,,21-Jan-2009,10.5546,0.0
4,106271,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-DIVIDEND,10.6072,,,21-Jan-2009,10.6072,0.0
5,106272,BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-5 YRS-GROWTH,10.6072,,,21-Jan-2009,10.6072,0.0
6,102754,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Dividend,10.1684,,,21-Jan-2009,9.965,10.1684
7,102755,Birla Sun Life Fixed Maturity Plan - Annual Series 1-Growth,10.3795,,,21-Jan-2009,10.1719,10.3795
8,100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,21.0861,INF209K01694,,21-Jan-2009,20.9596,21.0861
9,100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,10.5002,INF209K01702,,21-Jan-2009,10.4372,10.5002
10,100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,21.0861,INF209K01710,,21-Jan-2009,20.9596,21.0861
11,101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,15.0693,INF209K01728,,21-Jan-2009,15.0693,15.0693
12,101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,11.1547,INF209K01736,INF209K01DE3,21-Jan-2009,11.1547,11.1547
13,101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,15.0693,INF209K01744,,21-Jan-2009,15.0693,15.0693
14,103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,10.3585,INF209K01AX9,INF209K01DX3,21-Jan-2009,10.2549,10.3585
15,103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,28.2766,INF209K01AZ4,,21-Jan-2009,27.9938,28.2766
16,103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,10.4776,INF209K01AY7,INF209K01DY1,21-Jan-2009,10.3728,10.4776
18,102670,BARODA PIONEER CHILDREN FUND-GIFT PLAN,10.7443,,,21-Jan-2009,10.6369,10.7443
20,110147,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Dividend Option,10.1236,INF760K01BG4,,21-Jan-2009,10.1236,0.0
21,110146,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Regular Plan - Growth Option,10.2865,INF760K01BH2,,21-Jan-2009,10.2865,0.0
22,110148,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Dividend Option,10.075,INF760K01BI0,,21-Jan-2009,10.075,0.0
23,110145,Canara Robeco Interval Scheme Series2 (Quarterly Plan2) - Retail Plan - Growth Option,10.3393,INF760K01BJ8,,21-Jan-2009,10.3393,0.0
24,109931,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Institutional Plan- Dividend Option,10.1441,,,21-Jan-2009,10.1441,0.0
25,109930,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Institutional Plan- Growth Option,10.293,,,21-Jan-2009,10.293,0.0
26,109933,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Retail Plan- Dividend Option,10.1392,,,21-Jan-2009,10.1392,0.0
27,109932,Canara Robeco Interval Scheme- Series2 (Quarterly Plan1)- Retail Plan- Growth Option,10.4297,,,21-Jan-2009,10.4297,0.0
29,100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,13.9334,,,21-Jan-2009,13.9334,13.9334
30,105738,DBS Chola Freedom Income -Short Term Fund-Daily Dividend Re-investment Plan,10.1552,,,21-Jan-2009,10.1552,10.1552
31,100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,13.7468,,,21-Jan-2009,13.7468,13.7468
32,100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend,11.2899,,,21-Jan-2009,11.2899,11.2899
33,105693,DBS Chola Freedom Income -Short Term Fund-Weekly Dividend- Institutional Plan,10.3849,,,21-Jan-2009,10.3849,10.3849
34,101192,DBS Chola Freedom Income-STF Regular-Semi Annual Dividend,13.0673,,,21-Jan-2009,13.0673,13.0673
35,106643,DBS Chola Interval Income Fund - Institutional Plan - Cumulative Option,11.3106,,,21-Jan-2009,11.1409,11.3106
36,106644,DBS Chola Interval Income Fund - Institutional Plan - Dividend Option,10.0807,,,21-Jan-2009,9.9295,10.0807
37,106641,DBS Chola Interval Income Fund - Retail Plan - Cumulative Option,11.3025,,,21-Jan-2009,11.133,11.3025
38,106642,DBS Chola Interval Income Fund - Retail Plan - Dividend Option,10.0807,,,21-Jan-2009,9.9295,10.0807
39,107547,DBS Chola Interval Income Fund - Quarterly Plan C (Institutional Plan - Cumulative Option),10.9342,,,21-Jan-2009,10.8795,10.9342
40,107546,DBS Chola Interval Income Fund - Quarterly Plan C (Institutional Plan - Dividend Option),10.1807,,,21-Jan-2009,10.1298,10.1807
41,107548,DBS Chola Interval Income Fund - Quarterly Plan C (Retail Plan - Cumulative Option),10.9343,,,21-Jan-2009,10.8796,10.9343
42,107549,DBS Chola Interval Income Fund - Quarterly Plan C (Retail Plan - Dividend Option),10.1887,,,21-Jan-2009,10.1378,10.1887
43,101958,DBS Chola Liquid Fund - Institutional Plus Weekly Dividend,11.9533,,,21-Jan-2009,11.9533,11.9533
44,102019,DBS Chola Monthly Income Plan -Reg.-Quarterly Dividend Plan,11.475,,,21-Jan-2009,11.475,11.475
45,102018,DBS Chola Monthly Income Plan -Regular - Cumulative Plan,16.5672,,,21-Jan-2009,16.5672,16.5672
46,101895,DBS Chola Monthly Income Plan-Regular-Monthly Dividend Plan,11.4689,,,21-Jan-2009,11.4689,11.4689
47,103137,DBS Chola Short Term Floating Rate Fund-Cumulative,12.8408,,,21-Jan-2009,12.8408,12.8408
48,103134,DBS Chola Short Term Floating Rate Fund-Dividend-Daily,10.2494,,,21-Jan-2009,10.2494,10.2494
49,103136,DBS Chola Short Term Floating Rate Fund-Dividend-Monthly,10.4463,,,21-Jan-2009,10.4463,10.4463
50,103135,DBS Chola Short Term Floating Rate Fund-Dividend-Weekly,10.4729,,,21-Jan-2009,10.4729,10.4729
51,100567,DBS Chola Triple Ace-Regular - Quarterly Dividend,11.7335,,,21-Jan-2009,11.7335,11.7335
52,100563,DBS Chola Triple Ace-Regular -Cumulative,24.9072,,,21-Jan-2009,24.9072,24.9072
53,100573,DBS Chola Triple Ace-Regular Bonus,13.8533,,,21-Jan-2009,13.8533,13.8533
54,100569,DBS Chola Triple Ace-Semi Annual Dividend,10.5698,,,21-Jan-2009,10.5698,10.5698
55,101784,DBS CholaFreedom Income-STF-Institutional Monthly Dividend,12.3117,,,21-Jan-2009,12.3117,12.3117
57,108195,DWS CASH OPPORTUNITIES FUND - DAILY DIV,10.02,,INF223J01AD4,21-Jan-2009,10.02,10.02
58,106036,DWS CASH OPPORTUNITIES FUND - FORTNIGHTLY DIV,10.1511,INF223J01AE2,INF223J01AF9,21-Jan-2009,10.1308,10.1511
59,105973,DWS CASH OPPORTUNITIES FUND - GR,11.5291,INF223J01AG7,,21-Jan-2009,11.506,11.5291
60,105974,DWS CASH OPPORTUNITIES FUND - MONTHLY DIV,10.2293,INF223J01AH5,INF223J01AI3,21-Jan-2009,10.2088,10.2293
61,106035,DWS CASH OPPORTUNITIES FUND - WEEKLY DIV,10.1119,INF223J01AJ1,INF223J01AK9,21-Jan-2009,10.0917,10.1119
62,107382,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL - MONTHLY DIV,10.2322,INF223J01986,INF223J01994,21-Jan-2009,10.2066,10.2322
63,107380,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -GR,10.9994,INF223J01978,,21-Jan-2009,10.9719,10.9994
64,108243,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL -Weekly,10.0859,INF223J01AA0,INF223J01AB8,21-Jan-2009,10.0859,10.0859
65,108244,DWS CASH OPPORTUNITIES FUND INSTITUTIONAL-Daily,10.02,,INF223J01945,21-Jan-2009,10.02,10.02
66,106882,DWS Income Advantage Fund - Dividend,10.5315,INF223J01CA6,INF223J01CB4,21-Jan-2009,10.521,10.5315
67,106881,DWS Income Advantage Fund - Growth,11.2802,INF223J01BZ5,,21-Jan-2009,11.2689,11.2802
68,106884,DWS Income Advantage FUND- Inst-Div,10.5616,INF223J01BW2,INF223J01BX0,21-Jan-2009,10.551,10.5616
69,104426,DWS Low Duration Fund - Daily Dividend,10.0082,,INF223J01CC2,21-Jan-2009,9.9932,10.0082
70,104425,DWS Low Duration Fund - Growth,12.0696,,INF223J01CE8,21-Jan-2009,12.0515,12.0696
71,104428,DWS Low Duration Fund - Monthly Dividend,10.3001,INF223J01CF5,INF223J01CG3,21-Jan-2009,10.2846,10.3001
72,110073,DWS Low Duration Fund - Regular Plan - Bonus,10.2894,INF223J01CJ7,,21-Jan-2009,10.2894,10.2894
73,104234,DWS Low Duration Fund - Regular Plan - Daily Dividend,10.0259,,INF223J01CK5,21-Jan-2009,10.0109,10.0259
74,103591,DWS Low Duration Fund - Regular Plan - Growth,12.5976,INF223J01CL3,,21-Jan-2009,12.5787,12.5976
75,103590,DWS Low Duration Fund - Regular Plan - Monthly Dividend,10.3873,INF223J01CM1,INF223J01CN9,21-Jan-2009,10.3717,10.3873
76,103592,DWS Low Duration Fund - Regular Plan - Weekly Dividend,10.1682,INF223J01CO7,INF223J01CP4,21-Jan-2009,10.1529,10.1682
77,104427,DWS Low Duration Fund - Weekly Dividend,10.1446,INF223J01CH1,INF223J01CI9,21-Jan-2009,10.1294,10.1446
78,101731,DWS Premier Bond Fund - Annual Dividend,12.9139,INF223J01CY6,INF223J01CZ3,21-Jan-2009,12.8493,12.9139
79,101732,DWS Premier Bond Fund - Growth,14.8803,INF223J01DB2,,21-Jan-2009,14.8803,15.1779
80,111554,DWS Premier Bond Fund - Institutional Plan - Growth,10.2616,INF223J01CT6,,21-Jan-2009,10.2616,0.0
81,111552,DWS Premier Bond Fund - Institutional Plan - Monthly Dividend,10.1639,INF223J01CU4,INF223J01CV2,21-Jan-2009,10.1639,0.0
82,111553,DWS Premier Bond Fund - Institutional Plan - Quarterly Dividend,9.8881,INF223J01CW0,INF223J01CX8,21-Jan-2009,9.8881,0.0
83,101730,DWS Premier Bond Fund - Monthly Dividend,12.413,INF223J01DC0,INF223J01DD8,21-Jan-2009,12.3509,12.413
84,101729,DWS Premier Bond Fund - Quarterly Dividend,11.8707,INF223J01DE6,INF223J01DF3,21-Jan-2009,11.8113,11.8707
85,101627,DWS Short Maturity Fund - Growth,15.1146,INF223J01DT4,,21-Jan-2009,15.1146,15.1146
86,111556,DWS Short Maturity Fund - Institutional Plan - Growth,10.0451,INF223J01DG1,,21-Jan-2009,10.0451,0.0
87,111557,DWS Short Maturity Fund - Institutional Plan - Monthly Dividend,9.9114,INF223J01DH9,INF223J01DI7,21-Jan-2009,9.9114,0.0
88,111558,DWS Short Maturity Fund - Institutional Plan - Weekly Dividend,9.9863,INF223J01DJ5,INF223J01DK3,21-Jan-2009,9.9863,0.0
89,101625,DWS Short Maturity Fund - Monthly Dividend,11.1546,INF223J01DU2,INF223J01DV0,21-Jan-2009,11.1546,11.1546
90,101626,DWS Short Maturity Fund - Weekly Dividend,10.2304,INF223J01DX6,INF223J01DY4,21-Jan-2009,10.2304,10.2304
91,109301,DWS Ultra Short Term Fund - Daily Dividend,10.015,,INF223J01FH4,21-Jan-2009,10.015,10.015
92,109302,DWS Ultra Short Term Fund - Growth,10.1675,INF223J01FK8,,21-Jan-2009,10.1675,10.1675
93,110072,DWS Ultra Short Term Fund - Regular Plan - Bonus,10.299,INF223J01GA7,,21-Jan-2009,10.299,10.299
94,107821,DWS Ultra Short Term Fund - Regular Plan - Daily Dividend,10.0147,,INF223J01FW3,21-Jan-2009,10.0147,10.0147
95,107820,DWS Ultra Short Term Fund - Regular Plan - Growth,14.1105,INF223J01FX1,,21-Jan-2009,14.1105,14.1105
96,107823,DWS Ultra Short Term Fund - Regular Plan - Monthly Dividend,10.5955,INF223J01FY9,INF223J01FZ6,21-Jan-2009,10.5955,10.5955
97,107822,DWS Ultra Short Term Fund - Regular Plan - Weekly Dividend,10.5119,INF223J01GB5,INF223J01GC3,21-Jan-2009,10.5119,10.5119
98,109300,DWS Ultra Short Term Fund - Weekly Dividend,10.088,INF223J01FO0,INF223J01FP7,21-Jan-2009,10.088,10.088
100,101742,DSP BlackRock Savings Manager Fund - Moderate-Growth,16.5562,,,21-Jan-2009,16.3906,16.5562
101,101743,DSP BlackRock Savings Manager Fund - Moderate-Monthly Dividend,11.0587,,,21-Jan-2009,10.9481,11.0587
102,101744,DSP BlackRock Savings Manager Fund - Moderate-Quarterly Dividend,11.4786,,,21-Jan-2009,11.3638,11.4786
103,105665,DSP BlackRock Strategic Bond Fund - Regular Plan - Dividend,1028.5589,INF740K01QT7,INF740K01QW1,21-Jan-2009,1023.4161,1028.5589
104,105666,DSP BlackRock Strategic Bond Fund - Regular Plan - Growth,1125.5891,INF740K01QU5,,21-Jan-2009,1119.9612,1125.5891
105,105664,DSP BlackRock Strategic Bond Fund - Regular Plan - Monthly Dividend,1015.0132,INF740K01698,INF740K01QX9,21-Jan-2009,1009.9381,1015.0132
106,105877,DSP BlackRock Strategic Bond Fund - Regular Plan - Weekly Dividend,1004.0799,,,21-Jan-2009,999.0595,1004.0799
107,104143,DSP BlackRock Ultra Short Fund - Institutional Plan - Daily Dividend Reinvest,1000.8,,,21-Jan-2009,1000.8,1000.8
108,104142,DSP BlackRock Ultra Short Fund - Institutional Plan - Growth,1215.0868,INF740K01FS2,,21-Jan-2009,1215.0868,1215.0868
109,104141,DSP BlackRock Ultra Short Fund - Institutional Plan - Weekly Dividend,1002.2796,,,21-Jan-2009,1002.2796,1002.2796
110,103275,DSP Credit Risk Fund - Institutional Plan-Daily Dividend Reinvest,1000.0,,,21-Jan-2009,1000.0,1000.0
111,103277,DSP Credit Risk Fund - Institutional Plan-Growth,1244.1343,INF740K01FN3,,21-Jan-2009,1244.1343,1244.1343
113,109955,Edelweiss Bond Fund  - Growth Option,10.3777,INF754K01AH7,,21-Jan-2009,10.3673,10.3777
114,109950,Edelweiss Bond Fund - Daily Dividend Option,10.0,,INF754K01AL9,21-Jan-2009,9.99,10.0
115,109956,Edelweiss Bond Fund - Retail Plan - Daily Dividend Option,10.0,,INF754K01AE4,21-Jan-2009,9.99,10.0
116,109953,Edelweiss Bond Fund - Retail Plan - Fortnightly Dividend Option,10.0158,,INF754K01AG9,21-Jan-2009,10.0058,10.0158
117,109949,Edelweiss Bond Fund - Retail Plan - Growth Option,10.3733,INF754K01AA2,,21-Jan-2009,10.3629,10.3733
118,109958,Edelweiss Bond Fund - Retail Plan - Monthly Dividend Option,10.0394,INF754K01AB0,INF754K01AD6,21-Jan-2009,10.0294,10.0394
119,109951,Edelweiss Bond Fund - Retail Plan - Weekly Dividend Option,10.0,,INF754K01AF1,21-Jan-2009,9.99,10.0
120,110287,Edelweiss Short Term Income Fund - Dividend Option,10.0425,INF754K01830,INF754K01848,21-Jan-2009,9.5404,10.0425
121,110285,Edelweiss Short Term Income Fund - Growth Option,10.3057,INF754K01822,,21-Jan-2009,9.7904,10.3057
123,104220,Fidelity Flexi Bond Fund - Institutional Plan Dividend Option,10.0,,,21-Jan-2009,10.0,10.0
124,104219,Fidelity Flexi Bond Fund - Institutional Plan Growth Option,12.0261,,,21-Jan-2009,12.0261,12.0261
125,104218,Fidelity Flexi Bond Fund - Retail Plan Dividend Option,10.0646,,,21-Jan-2009,10.0646,10.0646
126,104217,Fidelity Flexi Bond Fund - Retail Plan Growth Option,11.9687,,,21-Jan-2009,11.9687,11.9687
127,106572,Fidelity Ultra Short Term Debt Fund - Institutional Plan - Daily Dividend Option,10.0025,,INF677K01999,21-Jan-2009,9.9925,10.0025
128,106571,Fidelity Ultra Short Term Debt Fund - Institutional Plan - Growth Option,10.8214,,,21-Jan-2009,10.8106,10.8214
129,106579,Fidelity Ultra Short Term Debt Fund - Institutional Plan - Monthly Dividend Option,10.0595,INF677K01AC1,INF677K01AD9,21-Jan-2009,10.0494,10.0595
130,106573,Fidelity Ultra Short Term Debt Fund - Institutional Plan - Weekly Dividend Option,10.0054,INF677K01AA5,INF677K01AB3,21-Jan-2009,9.9954,10.0054
131,106574,Fidelity Ultra Short Term Debt Fund - Retail Plan - Growth Option,11.1174,,,21-Jan-2009,11.1063,11.1174
132,106575,Fidelity Ultra Short Term Debt Fund - Retail Plan - Monthly Dividend Option,10.0588,,,21-Jan-2009,10.0487,10.0588
133,108409,Fidelity Ultra Short Term Debt Fund - Retail Plan - Weekly Dividend Option,10.0044,,INF677K01957,21-Jan-2009,9.9944,10.0044
134,106576,Fidelity Ultra Short Term Debt Fund - Super Institutional Plan - Daily Dividend Option,10.0025,,,21-Jan-2009,9.9925,10.0025
135,106578,Fidelity Ultra Short Term Debt Fund - Super Institutional Plan - Growth Option,11.1927,,,21-Jan-2009,11.1815,11.1927
136,106580,Fidelity Ultra Short Term Debt Fund - Super Institutional Plan - Monthly Dividend Option,10.0,,,21-Jan-2009,10.0,10.0
137,106577,Fidelity Ultra Short Term Debt Fund - Super Institutional Plan - Weekly Dividend Option,10.0051,INF677K01AG2,INF677K01AH0,21-Jan-2009,9.9951,10.0051
139,111315,Fortis Bond Fund - Institutional Plan -Annual-Dividend Option,0.0,,,21-Jan-2009,0.0,0.0
140,111310,Fortis Bond Fund - Institutional Plan -Growth Option,11.0511,,,21-Jan-2009,10.9406,11.0511
141,111309,Fortis Bond Fund - Regular Plan - Annual-Dividend Option,11.0253,,,21-Jan-2009,10.915,11.0253
142,111307,Fortis Bond Fund - Regular Plan - Fortnightly-Dividend Option,10.0314,,,21-Jan-2009,9.9311,10.0314
143,111308,Fortis Bond Fund - Regular Plan - Growth Option,11.0239,,,21-Jan-2009,10.9137,11.0239
144,111314,Fortis Bond Fund - Regular Plan - Monthly-Dividend Option,10.1883,,,21-Jan-2009,10.0864,10.1883
145,111306,Fortis Bond Fund - Regular Plan - Quarterly-Dividend Option,10.5688,,,21-Jan-2009,10.4631,10.5688
146,111313,Fortis Bond Fund -Institutional Plan - Fortnightly-Dividend Option,0.0,,,21-Jan-2009,0.0,0.0
147,111311,Fortis Bond Fund -Institutional Plan - Monthly-Dividend Option,0.0,,,21-Jan-2009,0.0,0.0
148,111312,Fortis Bond Fund -Institutional Plan - Quarterly-Dividend Option,0.0,,,21-Jan-2009,0.0,0.0
149,110808,Fortis Flexi Debt Fund-Regular Plan-Daily Dividend Option,9.4941,,,21-Jan-2009,9.4941,9.4941
150,110805,Fortis Flexi Debt Fund-Regular Plan-Growth Option,14.1459,,,21-Jan-2009,14.1459,14.1459
151,110807,Fortis Flexi Debt Fund-Regular Plan-Half-Yearly Dividend Option,10.797,,,21-Jan-2009,10.797,10.797
152,110806,Fortis Flexi Debt Fund-Regular Plan-Quarterly Dividend Option,10.1024,,,21-Jan-2009,10.1024,10.1024
153,110809,Fortis Flexi Debt Fund-Regular Plan-Weekly Dividend Option,9.5419,,,21-Jan-2009,9.5419,9.5419
154,110974,Fortis Flexible Short Term Plan - Series A - Regular Plan - Calendar Quarterly Dividend Option- Automatic Redemption,10.0691,,,21-Jan-2009,9.6663,10.0691
155,110975,Fortis Flexible Short Term Plan - Series A - Regular Plan - Calendar Quarterly Dividend Option- Automatic Renewal,10.0692,,,21-Jan-2009,9.6664,10.0692
156,110972,Fortis Flexible Short Term Plan - Series A - Regular Plan - Growth Option - Automatic Redemption,11.6932,,,21-Jan-2009,11.2255,11.6932
157,110968,Fortis Flexible Short Term Plan - Series A - Regular Plan - Growth Option - Automatic Renewal,11.6944,,,21-Jan-2009,11.2266,11.6944
158,110971,Fortis Flexible Short Term Plan - Series A - Regular Plan - Monthly Dividend Option- Automatic Redemption,10.05,,,21-Jan-2009,9.648,10.05
159,110970,Fortis Flexible Short Term Plan - Series A - Regular Plan - Monthly Dividend Option- Automatic Renewal,10.05,,,21-Jan-2009,9.648,10.05
160,110973,Fortis Flexible Short Term Plan - Series A - Regular Plan - Quarterly Dividend Option- Automatic Redemption,10.2194,,,21-Jan-2009,9.8106,10.2194
161,110969,Fortis Flexible Short Term Plan - Series A - Regular Plan - Quarterly Dividend Option- Automatic Renewal,10.2194,,,21-Jan-2009,9.8106,10.2194
162,110989,Fortis FLEXIBLE SHORT TERM PLAN - SERIES B - Regular Plan - Growth Option - Compulsory Redemption,11.7224,,,21-Jan-2009,11.2535,11.7224
163,110984,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES B - Regular Plan - Growth Option - Compulsory Renewal,11.7233,,,21-Jan-2009,11.2544,11.7233
164,110986,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES B - Regular Plan - Monthly Dividend Option - Compulsory Redemption,10.0714,,,21-Jan-2009,9.6685,10.0714
165,110987,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES B - Regular Plan - Monthly Dividend Option - Compulsory Renewal,10.0714,,,21-Jan-2009,9.6685,10.0714
166,110988,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES B - Regular Plan - Quarterly Dividend Option - Compulsory Redemption,10.2026,,,21-Jan-2009,9.7945,10.2026
167,110985,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES B - Regular Plan - Quarterly Dividend Option - Compulsory Renewal,10.2026,,,21-Jan-2009,9.7945,10.2026
168,111533,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Calendar Quarterly Dividend Option - Automatic Redemption,0.0,,,21-Jan-2009,0.0,0.0
169,111538,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Calendar Quarterly Dividend Option - Automatic Renewal,0.0,,,21-Jan-2009,0.0,0.0
170,111535,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Growth Option - Automatic Redemption,0.0,,,21-Jan-2009,0.0,0.0
171,111539,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Growth Option - Automatic Renewal,0.0,,,21-Jan-2009,0.0,0.0
172,111536,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Monthly Dividend Option - Automatic Redemption,0.0,,,21-Jan-2009,0.0,0.0
173,111534,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Monthly Dividend Option - Automatic Renewal,0.0,,,21-Jan-2009,0.0,0.0
174,111537,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Quarterly Dividend Option - Automatic Redemption,10.0985,,,21-Jan-2009,9.6946,10.0985
175,111540,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Institutional Plan - Quarterly Dividend Option - Automatic Renewal,0.0,,,21-Jan-2009,0.0,0.0
176,110999,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Calendar Quarterly Dividend Option - Automatic Redemption,0.0,,,21-Jan-2009,0.0,0.0
177,110998,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Calendar Quarterly Dividend Option - Automatic Renewal,0.0,,,21-Jan-2009,0.0,0.0
178,110993,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Growth Option - Automatic Redemption,10.0629,,,21-Jan-2009,9.6604,10.0629
179,110992,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Growth Option - Automatic Renewal,11.6128,,,21-Jan-2009,11.1483,11.6128
180,110997,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Monthly Dividend Option - Automatic Redemption,10.051,,,21-Jan-2009,9.649,10.051
181,110996,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Monthly Dividend Option - Automatic Renewal,10.0508,,,21-Jan-2009,9.6488,10.0508
182,110994,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Quarterly Dividend Option - Automatic Redemption,10.0934,,,21-Jan-2009,9.6897,10.0934
183,110995,FORTIS FLEXIBLE SHORT TERM PLAN - SERIES C- Regular Plan - Quarterly Dividend Option - Automatic Renewal,10.094,,,21-Jan-2009,9.6902,10.094
184,111116,Fortis Interval Fund - Monthly Plan A - Calender Monthly Dividend Option -  Automatic Redemption,0.0,,,21-Jan-2009,0.0,0.0
185,111117,Fortis Interval Fund - Monthly Plan A - Calender Monthly Dividend Option -  Automatic Renewal,10.0057,,,21-Jan-2009,9.6055,10.0057
186,111112,Fortis Interval Fund - Monthly Plan A - Growth Option - Automatic Redemption,9.9309,,,21-Jan-2009,9.5337,9.9309
187,111115,Fortis Interval Fund - Monthly Plan A - Growth Option - Automatic Renewal,11.1724,,,21-Jan-2009,10.7255,11.1724
188,111114,Fortis Interval Fund - Monthly Plan A - Interval Period Dividend Option - Automatic Redemption,10.0057,,,21-Jan-2009,9.6055,10.0057
189,111113,Fortis Interval Fund - Monthly Plan A - Interval Period Dividend Option - Automatic Renewal,10.0057,,,21-Jan-2009,9.6055,10.0057
190,111038,Fortis Interval Fund - Quarterly Plan H -  Regular Plan Quarterly Dividend Option - Compulsory Redemption,0.0,,,21-Jan-2009,0.0,0.0
191,111035,Fortis Interval Fund - Quarterly Plan H - Regular Plan  Growth Option - Compulsory Redemption,10.9434,,,21-Jan-2009,10.5057,10.9434
192,111040,Fortis Interval Fund - Quarterly Plan H - Regular Plan  Growth Option - Compulsory Renewal,11.4427,,,21-Jan-2009,10.985,11.4427
193,111036,Fortis Interval Fund - Quarterly Plan H - Regular Plan  Interval Period Dividend Option - Compulsory Redemption,10.2202,,,21-Jan-2009,9.8114,10.2202
194,111039,Fortis Interval Fund - Quarterly Plan H - Regular Plan  Interval Period Dividend Option - Compulsory Renewal,10.2007,,,21-Jan-2009,9.7927,10.2007
195,111037,Fortis Interval Fund - Quarterly Plan H - Regular Plan  Monthly Dividend Option - Compulsory Redemption,0.0,,,21-Jan-2009,0.0,0.0
196,111034,Fortis Interval Fund - Quarterly Plan H - Regular Plan  Quarterly Dividend Option - Compulsory Renewal,0.0,,,21-Jan-2009,0.0,0.0
197,111041,Fortis Interval Fund - Quarterly Plan H - Regular Plan Monthly Dividend Option - Compulsory Renewal,0.0,,,21-Jan-2009,0.0,0.0
198,111072,Fortis Interval Fund - Quarterly Plan I - Regular Plan -  Monthly Dividend Option - Compulsory Renewal,0.0,,,21-Jan-2009,0.0,0.0
199,111076,Fortis Interval Fund - Quarterly Plan I - Regular Plan - Growth Option - Compulsory Redemption,0.0,,,21-Jan-2009,0.0,0.0
200,111077,Fortis Interval Fund - Quarterly Plan I - Regular Plan - Growth Option - Compulsory Renewal,11.3425,,,21-Jan-2009,10.8888,11.3425
201,111070,Fortis Interval Fund - Quarterly Plan I - Regular Plan - Interval Period Dividend Option - Compulsory Redemption,10.073,,,21-Jan-2009,9.6701,10.073
202,111073,Fortis Interval Fund - Quarterly Plan I - Regular Plan - Interval Period Dividend Option - Compulsory Renewal,10.0729,,,21-Jan-2009,9.67,10.0729
203,111071,Fortis Interval Fund - Quarterly Plan I - Regular Plan - Monthly Dividend Option - Compulsory Redemption,0.0,,,21-Jan-2009,0.0,0.0
204,111074,Fortis Interval Fund - Quarterly Plan I - Regular Plan - Quarterly Dividend Option - Compulsory Redemption,10.0618,,,21-Jan-2009,9.6593,10.0618
