,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
2974,104684,ICICI Prudential Equity - Arbitrage Fund-Institutional Growth Option,11.94,INF109K01BD1,,21-Jan-2009,11.88,11.94
2975,104683,ICICI Prudential Equity Arbitrage Fund - Growth,11.87,INF109K01BF6,,21-Jan-2009,11.81,11.87
2976,104681,ICICI Prudential Equity Arbitrage Fund - IDCW,10.36,INF109K01EF0,INF109K01BE9,21-Jan-2009,10.31,10.36
2978,108844,IDFC Arbitrage Fund - Plan B - Dividend,10.5329,INF194K01623,INF194K01631,21-Jan-2009,10.5329,10.5329
2979,108846,IDFC Arbitrage Fund - Plan B - Growth,11.8936,INF194K01615,,21-Jan-2009,11.8936,11.8936
2980,108845,IDFC Arbitrage Fund - Regular Plan - Growth,11.7699,INF194K01649,,21-Jan-2009,11.7699,11.7699
2981,108847,IDFC Arbitrage Fund - Regular Plan - Monthly IDCW,10.4137,INF194K01656,INF194K01664,21-Jan-2009,10.4137,10.4137
2983,105603,Invesco India Arbitrage Fund - Growth Option,11.5214,INF205K01122,,21-Jan-2009,11.5214,11.5214
2984,105604,Invesco India Arbitrage Fund - IDCW (Payout / Reinvestment),10.2478,INF205K01148,INF205K01130,21-Jan-2009,10.2478,10.2478
2986,103780,JM Arbitrage Fund (Regular) - Growth Option,12.2984,INF192K01510,,21-Jan-2009,12.1754,12.2984
2987,103781,JM Arbitrage Fund (Regular) - IDCW ,10.1763,INF192K01494,INF192K01502,21-Jan-2009,10.0745,10.1763
2989,105968,Kotak Equity Arbitrage Fund - Growth,12.9226,INF174K01302,,21-Jan-2009,12.9226,12.9226
2990,105967,Kotak Equity Arbitrage Fund - Payout of Income Distribution cum capital withdrawal option,10.762,INF174K01328,INF174K01310,21-Jan-2009,10.762,10.762
2992,104457,SBI Arbitrage Opportunities Fund - Regular Plan - Gr,12.0674,INF200K01156,,21-Jan-2009,12.0372,12.0674
2993,104458,SBI Arbitrage Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),11.4273,INF200K01131,INF200K01149,21-Jan-2009,11.3987,11.4273
2995,104075,UTI Arbitrage Fund - Regular Plan - Growth Option,12.5735,INF789FB1RJ0,,21-Jan-2009,12.5735,12.5735
2996,104074,UTI Arbitrage Fund - Regular Plan - IDCW,11.6981,INF789FB1RH4,INF789FB1RI2,21-Jan-2009,11.6981,11.6981
2999,101585,HDFC Equity Savings Fund - GROWTH PLAN,13.1148,INF179K01AM7,,21-Jan-2009,12.9837,13.2459
3000,101586,HDFC Equity Savings Fund - IDCW PLAN,9.9336,INF179K01AK1,INF179K01AL9,21-Jan-2009,9.8343,10.0329
3002,108995,IDFC Equity Savings Fund - Regular Plan - Growth,10.6245,INF194K01581,,21-Jan-2009,10.6245,10.6245
3003,108992,IDFC Equity Savings Fund - Regular Plan - Monthly IDCW,10.4113,INF194K01599,INF194K01607,21-Jan-2009,10.4113,10.4113
3004,108993,IDFC Equity Savings Fund -B-DIVIDEND,10.4336,INF194K01565,INF194K01573,21-Jan-2009,10.4336,10.4336
3005,108994,IDFC Equity Savings Fund -B-GROWTH,10.6161,INF194K01557,,21-Jan-2009,10.6161,10.6161
3007,101498,Principal Equity Savings Fund - Growth Option,17.4732,INF173K01213,,21-Jan-2009,17.2111,17.4732
3008,101499,Principal Equity Savings Fund - Half Yearly Income Distribution CUM Capital Withdrawal,10.5264,INF173K01247,INF173K01254,21-Jan-2009,10.3685,10.5264
3009,101500,Principal Equity Savings Fund -Quaterly Income Distribution CUM Capital Withdrawal,10.9554,INF173K01262,INF173K01270,21-Jan-2009,10.7911,10.9554
3011,101906,Tata Equity Savings Fund -Regular Plan-Growth Option,16.4051,INF277K01907,,21-Jan-2009,16.241,16.4051
3012,102118,Tata Equity Savings Fund- Regular Plan - Periodic Payout of IDCW Option,11.965,INF277K01EF5,INF277K01915,21-Jan-2009,11.8454,11.965
3013,101609,TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,11.8407,INF277K01EE8,INF277K01899,21-Jan-2009,11.7223,11.8407
3016,100535,Franklin India Pension Plan - IDCW ,12.1296,INF090I01528,INF090I01536,21-Jan-2009,12.1296,12.4025
3017,100536,Franklin India Pension Plan-Growth,40.6706,INF090I01510,,21-Jan-2009,40.6706,41.5857
3019,100682,UTI - Retirement Benefit Pension Fund - Regular Plan,18.1939,,,21-Jan-2009,18.1939,18.4668
3022,100899,HDFC Children Gift Fund-Savings,16.093,,,21-Jan-2009,16.093,16.294
3023,100900,HDFC Childrens Gift Fund - Growth Plan,18.234,,,21-Jan-2009,18.234,18.644
3025,101127,ICICI Prudential Child Care Fund (Gift Plan) - Cumulative,25.21,INF109K01605,,21-Jan-2009,24.96,25.59
3027,101271,LIC MF Children's Gift Fund-Regular Plan-Growth,6.4808,INF767K01048,,21-Jan-2009,6.4808,6.4808
