Date,Open,High,Low,Close,Adj Close,Volume
2010-02-05,880.000000,880.000000,880.000000,880.000000,880.000000,10
2010-02-06,null,null,null,null,null,null
2010-02-08,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-09,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-10,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-11,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-15,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-16,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-17,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-18,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-19,855.000000,855.000000,855.000000,855.000000,855.000000,5
2010-02-22,835.000000,835.000000,835.000000,835.000000,835.000000,10
2010-02-23,835.000000,835.000000,835.000000,835.000000,835.000000,10
2010-02-24,835.000000,835.000000,835.000000,835.000000,835.000000,10
2010-02-25,835.000000,835.000000,835.000000,835.000000,835.000000,10
2010-02-26,841.049988,841.049988,841.049988,841.049988,841.049988,1
2010-03-02,867.000000,867.000000,866.000000,866.000000,866.000000,2
2010-03-03,923.000000,940.000000,875.049988,920.950012,920.950012,324
2010-03-04,925.000000,925.000000,915.000000,915.000000,915.000000,207
2010-03-05,900.000000,900.000000,890.000000,890.000000,890.000000,107
2010-03-08,900.000000,900.000000,890.000000,890.000000,890.000000,107
2010-03-09,900.000000,900.000000,890.000000,890.000000,890.000000,107
2010-03-10,900.000000,900.000000,890.000000,890.000000,890.000000,107
2010-03-11,900.000000,900.000000,890.000000,890.000000,890.000000,107
2010-03-12,920.000000,920.000000,920.000000,920.000000,920.000000,2
2010-03-15,920.000000,920.000000,920.000000,920.000000,920.000000,2
2010-03-16,920.000000,920.000000,920.000000,920.000000,920.000000,2
2010-03-17,920.000000,920.000000,920.000000,920.000000,920.000000,2
2010-03-18,920.000000,920.000000,920.000000,920.000000,920.000000,2
2010-03-19,910.000000,915.000000,910.000000,915.000000,915.000000,10
2010-03-22,910.000000,915.000000,910.000000,915.000000,915.000000,10
2010-03-23,901.000000,901.000000,901.000000,901.000000,901.000000,1
2010-03-25,892.000000,940.000000,892.000000,892.000000,892.000000,3
2010-03-26,940.000000,940.000000,940.000000,940.000000,940.000000,5
2010-03-29,925.000000,925.000000,925.000000,925.000000,925.000000,10
2010-03-30,925.000000,925.000000,925.000000,925.000000,925.000000,10
2010-03-31,925.000000,925.000000,925.000000,925.000000,925.000000,10
2010-04-01,925.000000,925.000000,925.000000,925.000000,925.000000,10
2010-04-05,935.000000,945.000000,935.000000,945.000000,945.000000,20
2010-04-06,950.000000,950.000000,950.000000,950.000000,950.000000,10
2010-04-07,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-08,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-09,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-12,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-13,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-15,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-16,945.000000,970.000000,945.000000,964.250000,964.250000,59
2010-04-19,964.250000,964.250000,944.000000,945.000000,945.000000,9
2010-04-20,957.000000,957.000000,957.000000,957.000000,957.000000,30
2010-04-21,950.000000,970.000000,906.000000,944.349976,944.349976,260
2010-04-22,965.000000,970.000000,931.299988,957.099976,957.099976,60
2010-04-23,896.000000,994.000000,896.000000,994.000000,994.000000,220
